datetime,portfolio_value,strategy_portfolio_value,action,bar_datetime,close,high,low,open,volume
['2021-03-01 10:00:00'],[0.0],[11000000],[''],['2021-03-01 10:00:00'],"[[25.39, 21.95211, 42.22135, 139.4, 16.54, 7.76, 23.028, 47.99873, 69.78, 10.3966532, 37.61, 7.0294, 5.1164, 13.59265, 35.01, 0.108, 9.04]]","[[25.69, 23.05211, 42.87135, 140.7, 17.02, 8.02, 23.478, 49.54873, 69.93, 10.453796, 38.31, 7.0294, 5.1564, 13.85265, 35.61, 0.108, 9.15]]","[[24.99, 21.35211, 41.97135, 139.1, 16.34, 7.73, 22.978, 47.84873, 69.63, 10.358558, 37.56, 6.9994, 5.0464, 13.37265, 34.56, 0.108, 8.63]]","[[25.44, 22.75211, 42.67135, 140.2, 17.02, 7.89, 23.428, 49.54873, 69.78, 10.358558, 37.66, 7.0194, 5.0464, 13.37265, 34.56, 0.108, 8.63]]","[[10796000, 12372500, 7941600, 289600, 210600, 165600, 1096500, 347250, 536000, 2310000, 341000, 836000, 2604000, 982000, 488000, 0, 1974500]]"
['2021-03-01 10:30:00'],[-1.0324795849155635],[10999998.967520416],"[""{'no': 0, 'gw': 'Backtest', 'sec': 'HK.00175', 'qty': 39, 'side': 'SHORT', 'close': 25.89, 'offset': 'OPEN'}|{'no': 0, 'gw': 'Backtest', 'sec': 'HK.02333', 'qty': 47, 'side': 'LONG', 'close': 22.45211, 'offset': 'OPEN'}|""]",['2021-03-01 10:30:00'],"[[25.89, 22.45211, 41.77135, 139.1, 16.44, 7.75, 22.978, 47.89873, 69.63, 10.3204628, 37.16, 7.0294, 5.0864, 13.55265, 35.06, 0.108, 9.04]]","[[26.09, 22.75211, 42.32135, 139.8, 16.64, 7.77, 23.078, 48.14873, 69.78, 10.4157008, 37.61, 7.0294, 5.1164, 13.69265, 35.11, 0.108, 9.09]]","[[25.34, 21.95211, 41.52135, 138.9, 16.3, 7.74, 22.828, 47.79873, 69.23, 10.26332, 37.06, 7.0094, 5.0764, 13.55265, 35.01, 0.108, 9.0]]","[[25.39, 21.95211, 42.22135, 139.5, 16.54, 7.77, 23.028, 48.04873, 69.78, 10.4157008, 37.61, 7.0294, 5.1164, 13.61265, 35.01, 0.108, 9.04]]","[[10927000, 4729000, 7695200, 259300, 188000, 27600, 1135000, 228750, 769500, 3193050, 326500, 63000, 413000, 210000, 224000, 0, 1193500]]"
['2021-03-01 11:00:00'],[4248.967520414968],[11004248.967520416],[''],['2021-03-01 11:00:00'],"[[25.54, 22.05211, 41.82135, 138.9, 16.48, 7.75, 23.028, 48.04873, 69.33, 10.2823676, 37.16, 7.0294, 5.0764, 13.47265, 35.21, 0.105, 8.93]]","[[25.89, 22.45211, 42.07135, 139.4, 16.5, 7.77, 23.078, 48.14873, 69.58, 10.3204628, 37.26, 7.0394, 5.0864, 13.55265, 35.26, 0.105, 9.04]]","[[25.54, 22.00211, 41.67135, 138.9, 16.28, 7.74, 22.878, 47.84873, 69.28, 10.26332, 37.11, 7.0194, 5.0664, 13.39265, 35.06, 0.105, 8.89]]","[[25.89, 22.45211, 41.72135, 139.1, 16.36, 7.75, 22.978, 47.89873, 69.58, 10.3014152, 37.16, 7.0194, 5.0864, 13.53265, 35.06, 0.105, 9.04]]","[[3303000, 3965500, 2137600, 160800, 96600, 29600, 876500, 81000, 198000, 1012200, 216500, 93500, 606000, 370000, 240000, 20000, 849000]]"
['2021-03-01 11:30:00'],[1123.967520414968],[11001123.967520416],[''],['2021-03-01 11:30:00'],"[[25.59, 22.00211, 42.12135, 138.9, 16.38, 7.74, 23.078, 47.94873, 69.28, 10.2823676, 37.26, 7.0194, 5.0664, 13.43265, 35.06, 0.105, 8.96]]","[[25.79, 22.10211, 42.17135, 139.2, 16.48, 7.75, 23.128, 48.09873, 69.43, 10.3204628, 37.31, 7.0394, 5.0764, 13.49265, 35.21, 0.105, 8.98]]","[[25.39, 21.80211, 41.77135, 138.7, 16.36, 7.74, 22.978, 47.84873, 69.23, 10.2823676, 37.16, 7.0194, 5.0464, 13.39265, 34.91, 0.105, 8.88]]","[[25.54, 22.05211, 41.82135, 139.0, 16.46, 7.74, 22.978, 47.99873, 69.33, 10.3014152, 37.21, 7.0294, 5.0764, 13.47265, 35.21, 0.105, 8.93]]","[[2013000, 2386000, 2292000, 152100, 73800, 6800, 657000, 100300, 338000, 546000, 102500, 81500, 904000, 462000, 66000, 0, 382500]]"
['2021-03-01 12:00:00'],[-5526.032479585032],[10994473.967520416],[''],['2021-03-01 12:00:00'],"[[25.64, 21.80211, 42.12135, 138.3, 16.32, 7.75, 22.978, 47.94873, 69.33, 10.2823676, 37.31, 7.0294, 5.0564, 13.39265, 35.06, 0.105, 8.97]]","[[25.69, 21.95211, 42.22135, 138.9, 16.4, 7.75, 23.028, 48.04873, 69.38, 10.3014152, 37.36, 7.0494, 5.0664, 13.53265, 35.06, 0.105, 8.99]]","[[25.49, 21.70211, 41.77135, 138.2, 16.3, 7.74, 22.928, 47.89873, 69.28, 10.2823676, 37.21, 7.0194, 5.0464, 13.39265, 34.91, 0.105, 8.93]]","[[25.59, 21.95211, 42.17135, 138.9, 16.38, 7.74, 23.028, 47.89873, 69.28, 10.2823676, 37.21, 7.0294, 5.0664, 13.43265, 34.91, 0.105, 8.95]]","[[1632000, 1199000, 2617200, 243300, 85800, 7600, 561500, 39400, 97500, 487200, 101000, 181500, 687000, 256000, 82000, 0, 241500]]"
['2021-03-01 13:00:00'],[-5526.032479585032],[10994473.967520416],[''],['2021-03-01 13:00:00'],"[[25.64, 21.80211, 42.12135, 138.3, 16.32, 7.75, 22.978, 47.94873, 69.33, 10.2823676, 37.31, 7.0294, 5.0564, 13.39265, 35.06, 0.105, 8.97]]","[[25.69, 21.95211, 42.22135, 138.9, 16.4, 7.75, 23.028, 48.04873, 69.38, 10.3014152, 37.36, 7.0494, 5.0664, 13.53265, 35.06, 0.105, 8.99]]","[[25.49, 21.70211, 41.77135, 138.2, 16.3, 7.74, 22.928, 47.89873, 69.28, 10.2823676, 37.21, 7.0194, 5.0464, 13.39265, 34.91, 0.105, 8.93]]","[[25.59, 21.95211, 42.17135, 138.9, 16.38, 7.74, 23.028, 47.89873, 69.28, 10.2823676, 37.21, 7.0294, 5.0664, 13.43265, 34.91, 0.105, 8.95]]","[[1632000, 1199000, 2617200, 243300, 85800, 7600, 561500, 39400, 97500, 487200, 101000, 181500, 687000, 256000, 82000, 0, 241500]]"
['2021-03-01 13:30:00'],[-6301.03247958509],[10993698.967520416],[''],['2021-03-01 13:30:00'],"[[25.69, 21.85211, 42.07135, 138.1, 16.26, 7.72, 22.878, 48.04873, 69.33, 10.3204628, 37.11, 7.0194, 5.0364, 13.49265, 35.01, 0.105, 9.01]]","[[25.79, 22.00211, 42.22135, 138.4, 16.46, 7.74, 23.028, 48.14873, 69.38, 10.3395104, 37.31, 7.0394, 5.0564, 13.55265, 35.21, 0.105, 9.03]]","[[25.59, 21.75211, 41.97135, 137.9, 16.24, 7.72, 22.878, 47.99873, 69.28, 10.2823676, 37.11, 7.0194, 5.0364, 13.41265, 34.86, 0.105, 8.93]]","[[25.64, 21.80211, 42.17135, 138.3, 16.32, 7.74, 23.028, 47.99873, 69.33, 10.3014152, 37.31, 7.0294, 5.0464, 13.43265, 34.96, 0.105, 8.98]]","[[2821000, 2025000, 1673200, 188300, 183200, 15200, 715500, 38200, 179000, 1389150, 265000, 173000, 619000, 668000, 134000, 0, 647000]]"
['2021-03-01 14:00:00'],[-1601.0324795851484],[10998398.967520416],[''],['2021-03-01 14:00:00'],"[[25.69, 22.05211, 42.12135, 137.9, 16.14, 7.71, 22.928, 48.19873, 69.33, 10.3014152, 37.16, 7.0294, 5.0464, 13.67265, 34.96, 0.105, 9.09]]","[[25.74, 22.10211, 42.17135, 138.3, 16.26, 7.72, 22.978, 48.19873, 69.38, 10.3395104, 37.16, 7.0394, 5.0564, 13.67265, 35.01, 0.105, 9.09]]","[[25.59, 21.75211, 42.02135, 137.9, 16.12, 7.65, 22.878, 48.04873, 69.28, 10.2823676, 37.11, 7.0194, 5.0164, 13.49265, 34.91, 0.105, 9.0]]","[[25.69, 21.85211, 42.07135, 138.1, 16.24, 7.72, 22.928, 48.04873, 69.33, 10.3204628, 37.11, 7.0294, 5.0264, 13.51265, 35.01, 0.105, 9.02]]","[[2360000, 2286500, 1136800, 68200, 122400, 29200, 792000, 70750, 125500, 732900, 154000, 265000, 1594000, 504000, 50000, 12000, 567500]]"
['2021-03-01 14:30:00'],[1923.9675204149098],[11001923.967520416],[''],['2021-03-01 14:30:00'],"[[25.69, 22.20211, 42.07135, 138.1, 16.1, 7.73, 22.978, 48.24873, 69.33, 10.3204628, 37.21, 7.0294, 5.0464, 13.59265, 34.91, 0.107, 9.1]]","[[25.94, 22.30211, 42.32135, 138.1, 16.14, 7.74, 22.978, 48.29873, 69.33, 10.3204628, 37.26, 7.0394, 5.0464, 13.67265, 34.96, 0.107, 9.14]]","[[25.69, 22.00211, 42.02135, 137.9, 16.04, 7.7, 22.878, 48.19873, 69.28, 10.3014152, 37.11, 7.0194, 5.0364, 13.57265, 34.86, 0.105, 9.03]]","[[25.69, 22.00211, 42.07135, 138.0, 16.14, 7.7, 22.928, 48.19873, 69.33, 10.3014152, 37.11, 7.0294, 5.0464, 13.65265, 34.96, 0.105, 9.09]]","[[4523000, 1980000, 1769200, 79500, 179800, 30800, 799500, 34400, 137000, 348600, 316500, 268000, 263000, 692000, 50000, 192000, 1530500]]"
['2021-03-01 15:00:00'],[8973.967520414852],[11008973.967520416],[''],['2021-03-01 15:00:00'],"[[25.69, 22.50211, 42.12135, 138.5, 16.14, 7.74, 23.028, 48.19873, 69.13, 10.2823676, 37.31, 7.0194, 5.0464, 13.61265, 34.86, 0.107, 9.14]]","[[25.89, 22.55211, 42.17135, 138.5, 16.18, 7.75, 23.028, 48.29873, 69.33, 10.3204628, 37.41, 7.0294, 5.0464, 13.61265, 34.91, 0.107, 9.16]]","[[25.64, 22.10211, 42.02135, 137.9, 16.06, 7.74, 22.928, 48.14873, 69.03, 10.26332, 37.16, 7.0194, 5.0364, 13.55265, 34.86, 0.107, 9.09]]","[[25.69, 22.20211, 42.07135, 138.1, 16.08, 7.74, 22.928, 48.19873, 69.33, 10.3014152, 37.21, 7.0194, 5.0464, 13.59265, 34.91, 0.107, 9.1]]","[[3153000, 2519500, 1104400, 195700, 188600, 36000, 754500, 51300, 844000, 3246600, 283000, 116000, 482000, 1144000, 88000, 0, 1470000]]"
