datetime,portfolio_value,strategy_portfolio_value,action,bar_datetime,close,high,low,open,volume
['2022-01-01 01:00:00'],[0.0],[7000000],[''],['2022-01-01 01:00:00'],"[[47474.37155327, 3.0864, 3745.8, 148.35, 0.076832, 0.8373]]","[[48123.0, 3.1292, 3789.6, 150.53, 0.077684, 0.84439]]","[[47421.0, 3.08362577, 3740.8, 148.11, 0.076733, 0.83323]]","[[47974.61417195, 3.12304362, 3784.0, 150.35, 0.077643, 0.84138]]","[[288.83321153, 70592.22408468, 1382.19633948, 3910.37244501, 4259402.83122348, 275458.97038491]]"
['2022-01-01 02:00:00'],[-769.3211105585797],[6999230.67888944],"[""{'no': 0, 'gw': 'Backtest', 'sec': 'BTC.USD', 'qty': 21, 'side': 'LONG', 'close': 47025.60862463, 'offset': 'OPEN'}|{'no': 0, 'gw': 'Backtest', 'sec': 'LTC.USD', 'qty': 3732, 'side': 'SHORT', 'close': 147.67, 'offset': 'OPEN'}|""]",['2022-01-01 02:00:00'],"[[47025.60862463, 3.0864, 3722.6, 147.67, 0.076316, 0.83128]]","[[47536.0, 3.1292, 3754.4, 148.72, 0.076895, 0.8384]]","[[46899.0, 3.08362577, 3706.3, 146.7, 0.076091, 0.82613]]","[[47469.0, 3.12304362, 3745.84700748, 148.39, 0.076809, 0.83734]]","[[200.94484974, 70592.22408468, 2495.41019169, 3347.54966247, 2848326.97785768, 563403.71635413]]"
['2022-01-01 03:00:00'],[-4481.822227788623],[6995518.177772211],[''],['2022-01-01 03:00:00'],"[[46664.0, 3.04686121, 3705.8, 146.63, 0.075498, 0.82325]]","[[47037.0, 3.0775, 3724.97596441, 147.74, 0.076285, 0.83099]]","[[46510.0, 3.038, 3697.0, 146.4, 0.075299, 0.82097]]","[[47025.0, 3.0727, 3722.6, 147.6, 0.076285, 0.8307]]","[[299.65511304, 71725.30954961, 1921.48568768, 3795.35360496, 5459767.70821489, 410645.75229159]]"
['2022-01-01 04:00:00'],[-14094.96031492867],[6985905.039685071],[''],['2022-01-01 04:00:00'],"[[45721.07151966, 2.9796, 3625.9, 143.9, 0.07369089, 0.80442]]","[[46671.0, 3.0479, 3704.8, 146.82, 0.075512, 0.82324]]","[[45695.0, 2.975, 3622.0, 143.75, 0.073669, 0.80327]]","[[46667.0, 3.0479, 3704.0, 146.72, 0.075512, 0.82324]]","[[457.79962013, 157927.58880063, 1620.79340289, 4900.82708316, 6037584.34348426, 430754.38136259]]"
['2022-01-01 05:00:00'],[-11310.88288750872],[6988689.117112491],[''],['2022-01-01 05:00:00'],"[[45898.07520668, 2.9847, 3646.6, 144.15, 0.073684, 0.8129]]","[[46199.0, 3.0103, 3664.1, 145.5, 0.074454, 0.81666]]","[[45664.14362225, 2.9754, 3622.20825591, 143.85, 0.073574, 0.8024]]","[[45721.0, 2.9818, 3625.1, 143.93, 0.073659, 0.8036]]","[[162.68805351, 164528.37679362998, 1381.6903281, 3218.72891018, 5154114.8674376, 289052.55093294]]"
['2022-01-01 06:00:00'],[-9452.465068098507],[6990547.534931901],[''],['2022-01-01 06:00:00'],"[[46352.66272189, 3.0198, 3689.6, 146.21, 0.074944, 0.8291]]","[[46504.0, 3.03098918, 3699.7, 146.7, 0.074962, 0.8291]]","[[45798.22610101, 2.9826, 3635.1, 144.1, 0.073711, 0.81334]]","[[45899.0, 2.9826, 3646.08197, 144.2, 0.073711, 0.81334]]","[[182.41271622, 89004.51645542, 1137.50846305, 4334.67249522, 4470894.03645876, 261161.28903699]]"
['2022-01-01 07:00:00'],[-10138.382227788563],[6989861.617772211],[''],['2022-01-01 07:00:00'],"[[46320.0, 3.03617828, 3682.5, 146.21, 0.074899, 0.82493]]","[[46576.0, 3.0486, 3713.3, 146.7, 0.075358, 0.83375]]","[[46265.0, 3.0255, 3675.3677244, 144.1, 0.074893, 0.82492]]","[[46327.0, 3.0255, 3689.0, 144.2, 0.074945, 0.82873]]","[[122.99164222, 29080.540970970003, 531.28242938, 4334.67249522, 3163193.7180310898, 241263.94660043]]"
['2022-01-01 08:00:00'],[-12093.782227788586],[6987906.217772211],[''],['2022-01-01 08:00:00'],"[[46218.0, 3.0339, 3678.2, 146.16, 0.075365, 0.82967]]","[[46511.0, 3.0513, 3696.9, 146.91, 0.075521, 0.83722]]","[[46150.0, 3.0329, 3672.75228993, 146.11, 0.074865, 0.82503]]","[[46319.26765263, 3.03515485, 3682.4, 146.23, 0.07488785, 0.82503]]","[[102.71344543, 11537.41557848, 417.97228735, 1101.55317447, 2754620.84970092, 841305.0079608]]"
['2022-01-01 09:00:00'],[-13671.902227788582],[6986328.097772211],[''],['2022-01-01 09:00:00'],"[[46660.0, 3.0735, 3723.0, 149.07, 0.07593, 0.83921]]","[[46731.0, 3.0775, 3729.0, 149.55, 0.07593, 0.83984]]","[[46203.0, 3.0346, 3677.6, 146.18, 0.075259, 0.8297]]","[[46209.0, 3.0352, 3677.6, 146.2, 0.075385, 0.8297]]","[[115.34012805, 29652.62724472, 495.88395167, 3961.10452723, 695663.75084992, 234155.657276]]"
['2022-01-01 10:00:00'],[-7580.702227788628],[6992419.297772211],[''],['2022-01-01 10:00:00'],"[[46799.0, 3.0735, 3725.6, 148.22, 0.075871, 0.84008]]","[[46931.1287874, 3.0775, 3747.9, 149.69, 0.076134, 0.85297]]","[[46587.0, 3.0346, 3715.21049612, 148.17, 0.075673, 0.8319]]","[[46661.0, 3.0352, 3723.9, 149.08, 0.075928, 0.83942]]","[[56.27331501, 29652.62724472, 602.31602963, 1938.35419279, 300783.90241667, 530809.88042746]]"
