datetime,portfolio_value,strategy_portfolio_value,action,bar_datetime,close,high,low,open,volume
['2022-03-01 10:30:00'],[-1.2998945000581443],[10999998.7001055],"[""{'no': 0, 'gw': 'Backtest', 'sec': 'HK.00175', 'qty': 69, 'side': 'SHORT', 'close': 14.41, 'offset': 'OPEN'}|{'no': 0, 'gw': 'Backtest', 'sec': 'HK.02333', 'qty': 100, 'side': 'LONG', 'close': 16.05499, 'offset': 'OPEN'}|""]",['2022-03-01 10:30:00'],"[[14.41, 16.05499, 51.43178, 140.5, 12.03, 6.73, 26.47, 54.936, 74.78, 11.45, 46.08, 7.3997, 7.8247, 16.10794, 14.6, 0.072, 5.08]]","[[14.73, 16.53499, 51.98178, 142.4, 12.31, 6.76, 27.02, 55.836, 77.08, 11.53, 46.23, 7.4497, 8.0047, 16.52794, 14.86, 0.072, 5.18]]","[[14.33, 15.95499, 51.28178, 140.3, 12.03, 6.66, 26.47, 54.386, 73.83, 11.45, 45.88, 7.3897, 7.8047, 16.06794, 14.28, 0.072, 5.04]]","[[14.33, 16.49499, 51.93178, 140.8, 12.17, 6.73, 26.92, 55.836, 77.08, 11.47, 45.98, 7.4297, 7.9147, 16.18794, 14.28, 0.072, 5.14]]","[[13569000, 10370000, 3488400, 437900, 223200, 247600, 2925500, 194000, 3222500, 1955000, 401000, 534500, 1848000, 1586000, 476000, 0, 594000]]"
['2022-03-01 11:30:00'],[3378.7001054998254],[11003378.7001055],[''],['2022-03-01 11:30:00'],"[[14.39, 16.09499, 51.38178, 140.4, 12.03, 6.76, 26.47, 54.636, 74.18, 11.49, 45.93, 7.3997, 7.8047, 16.04794, 14.54, 0.072, 5.09]]","[[14.47, 16.17499, 51.53178, 140.6, 12.07, 6.79, 26.62, 54.936, 74.78, 11.51, 46.08, 7.4197, 7.8647, 16.14794, 14.62, 0.072, 5.11]]","[[14.33, 15.95499, 51.38178, 140.3, 12.03, 6.71, 26.37, 54.536, 74.18, 11.45, 45.93, 7.3997, 7.8047, 15.98794, 14.54, 0.072, 5.03]]","[[14.43, 16.05499, 51.43178, 140.5, 12.03, 6.76, 26.52, 54.886, 74.73, 11.47, 46.08, 7.4097, 7.8247, 16.08794, 14.62, 0.072, 5.08]]","[[6419000, 3293000, 1242800, 109700, 255600, 148400, 2134500, 60700, 1288000, 1743000, 113500, 208500, 1160000, 596000, 60000, 0, 450500]]"
['2022-03-01 13:00:00'],[7618.700105499942],[11007618.7001055],[''],['2022-03-01 13:00:00'],"[[14.43, 16.23499, 51.43178, 140.6, 12.05, 6.75, 26.57, 54.586, 74.53, 11.49, 46.03, 7.4097, 7.8147, 15.92794, 14.54, 0.072, 5.07]]","[[14.47, 16.23499, 51.53178, 141.1, 12.07, 6.77, 26.57, 54.636, 74.58, 11.51, 46.03, 7.4197, 7.8147, 16.06794, 14.54, 0.072, 5.09]]","[[14.39, 16.05499, 51.38178, 140.3, 12.05, 6.73, 26.37, 54.536, 74.13, 11.47, 45.93, 7.3997, 7.8047, 15.84794, 14.48, 0.072, 5.06]]","[[14.39, 16.05499, 51.38178, 140.3, 12.05, 6.77, 26.47, 54.586, 74.23, 11.49, 45.93, 7.3997, 7.8047, 16.04794, 14.54, 0.072, 5.09]]","[[2431000, 1535500, 861200, 175900, 46800, 44400, 1068500, 43050, 1240000, 283000, 59500, 74500, 82000, 568000, 24000, 0, 102000]]"
['2022-03-01 14:00:00'],[22698.70010550006],[11022698.7001055],[''],['2022-03-01 14:00:00'],"[[14.11, 16.09499, 51.38178, 140.1, 12.01, 6.74, 26.47, 54.836, 75.18, 11.47, 46.03, 7.4597, 7.8247, 15.88794, 14.6, 0.072, 5.11]]","[[14.49, 16.27499, 51.48178, 140.7, 12.05, 6.76, 26.57, 55.036, 75.23, 11.49, 46.08, 7.4597, 7.8247, 15.94794, 14.6, 0.072, 5.11]]","[[14.07, 16.05499, 51.08178, 139.9, 12.01, 6.71, 26.37, 54.586, 74.53, 11.45, 45.93, 7.4097, 7.7247, 15.84794, 14.5, 0.072, 5.07]]","[[14.43, 16.23499, 51.48178, 140.6, 12.05, 6.76, 26.57, 54.586, 74.53, 11.49, 46.03, 7.4197, 7.8047, 15.94794, 14.52, 0.072, 5.09]]","[[13378000, 3971500, 2640000, 300600, 214200, 81600, 1694000, 79400, 805500, 1128000, 155500, 548000, 564000, 3484000, 202000, 0, 675000]]"
['2022-03-01 15:00:00'],[15138.700105499825],[11015138.7001055],[''],['2022-03-01 15:00:00'],"[[14.35, 16.27499, 51.83178, 140.9, 12.15, 6.81, 26.82, 55.536, 75.38, 11.55, 46.18, 7.4597, 7.8247, 15.80794, 14.56, 0.072, 5.15]]","[[14.43, 16.31499, 52.03178, 141.4, 12.21, 6.81, 26.87, 55.686, 75.58, 11.55, 46.33, 7.4697, 7.8647, 15.90794, 14.6, 0.072, 5.17]]","[[14.09, 16.01499, 51.38178, 140.1, 12.01, 6.72, 26.42, 54.736, 75.13, 11.45, 45.98, 7.4497, 7.7947, 15.78794, 14.56, 0.071, 5.1]]","[[14.09, 16.11499, 51.43178, 140.1, 12.01, 6.72, 26.52, 54.786, 75.23, 11.45, 46.03, 7.4497, 7.8147, 15.88794, 14.6, 0.071, 5.11]]","[[10004000, 7044000, 2337200, 290800, 191200, 173600, 2922000, 168550, 870000, 1706000, 209500, 135500, 928000, 1124000, 810000, 0, 1919000]]"
['2022-03-01 16:00:00'],[22278.700105499942],[11022278.7001055],[''],['2022-03-01 16:00:00'],"[[14.29, 16.33499, 51.88178, 140.3, 12.11, 6.76, 26.67, 55.386, 75.18, 11.47, 46.18, 7.4397, 7.8647, 15.90794, 14.42, 0.071, 5.08]]","[[14.37, 16.35499, 51.98178, 140.8, 12.23, 6.82, 26.87, 55.586, 75.38, 11.55, 46.23, 7.4697, 7.8647, 15.90794, 14.58, 0.072, 5.14]]","[[14.27, 16.17499, 51.68178, 140.2, 12.09, 6.76, 26.52, 54.936, 75.03, 11.45, 45.93, 7.4297, 7.8247, 15.74794, 14.42, 0.07, 5.05]]","[[14.35, 16.27499, 51.78178, 140.8, 12.15, 6.81, 26.82, 55.536, 75.38, 11.55, 46.23, 7.4597, 7.8347, 15.78794, 14.58, 0.071, 5.14]]","[[11723000, 10494500, 6380800, 753000, 592200, 273200, 4643000, 148850, 1442000, 5105000, 866500, 683000, 2578000, 4364000, 186000, 0, 2528500]]"
['2022-03-02 09:30:00'],[22278.700105499942],[11022278.7001055],[''],['2022-03-02 09:30:00'],"[[14.29, 16.33499, 51.88178, 140.3, 12.11, 6.76, 26.67, 55.386, 75.18, 11.47, 46.18, 7.4397, 7.8647, 15.90794, 14.42, 0.071, 5.08]]","[[14.37, 16.35499, 51.98178, 140.8, 12.23, 6.82, 26.87, 55.586, 75.38, 11.55, 46.23, 7.4697, 7.8647, 15.90794, 14.58, 0.072, 5.14]]","[[14.27, 16.17499, 51.68178, 140.2, 12.09, 6.76, 26.52, 54.936, 75.03, 11.45, 45.93, 7.4297, 7.8247, 15.74794, 14.42, 0.07, 5.05]]","[[14.35, 16.27499, 51.78178, 140.8, 12.15, 6.81, 26.82, 55.536, 75.38, 11.55, 46.23, 7.4597, 7.8347, 15.78794, 14.58, 0.071, 5.14]]","[[11723000, 10494500, 6380800, 753000, 592200, 273200, 4643000, 148850, 1442000, 5105000, 866500, 683000, 2578000, 4364000, 186000, 0, 2528500]]"
['2022-03-02 10:30:00'],[4836.484810999944],[11004836.484811],"[""{'no': 0, 'gw': 'Backtest', 'sec': 'HK.00005', 'qty': 50, 'side': 'LONG', 'close': 49.58178, 'offset': 'OPEN'}|{'no': 0, 'gw': 'Backtest', 'sec': 'HK.02388', 'qty': 75, 'side': 'SHORT', 'close': 26.02, 'offset': 'OPEN'}|""]",['2022-03-02 10:30:00'],"[[14.05, 15.65499, 49.58178, 138.1, 11.95, 6.68, 26.02, 52.836, 74.88, 11.33, 45.48, 7.4197, 7.6647, 15.54794, 14.06, 0.071, 4.92]]","[[14.35, 16.37499, 50.18178, 139.4, 12.11, 6.75, 26.17, 53.386, 75.08, 11.39, 45.68, 7.4597, 7.7847, 15.86794, 14.52, 0.071, 5.07]]","[[14.03, 15.61499, 49.48178, 137.9, 11.91, 6.66, 25.77, 52.686, 74.38, 11.25, 45.18, 7.4197, 7.6047, 15.34794, 14.02, 0.071, 4.9]]","[[14.19, 16.07499, 49.98178, 138.8, 12.11, 6.67, 26.07, 53.036, 74.83, 11.35, 45.63, 7.4297, 7.7647, 15.84794, 14.36, 0.071, 5.03]]","[[7559000, 7403500, 13214400, 595100, 269400, 146000, 4674000, 310400, 1395500, 6054000, 643000, 204500, 2337000, 2972000, 378000, 0, 1360500]]"
['2022-03-02 11:30:00'],[7461.484810999944],[11007461.484811],[''],['2022-03-02 11:30:00'],"[[14.05, 15.63499, 49.48178, 137.8, 11.91, 6.68, 25.87, 52.986, 74.63, 11.31, 45.18, 7.4097, 7.6347, 15.56794, 14.1, 0.071, 4.91]]","[[14.09, 15.73499, 49.58178, 138.2, 11.95, 6.72, 26.17, 53.086, 75.03, 11.33, 45.53, 7.4297, 7.6747, 15.62794, 14.16, 0.071, 4.97]]","[[13.97, 15.57499, 49.23178, 137.8, 11.87, 6.68, 25.77, 52.836, 74.53, 11.31, 45.18, 7.4097, 7.6347, 15.46794, 14.04, 0.071, 4.9]]","[[14.05, 15.63499, 49.58178, 138.2, 11.95, 6.68, 26.07, 52.836, 74.83, 11.31, 45.53, 7.4197, 7.6647, 15.50794, 14.04, 0.071, 4.92]]","[[4271000, 4793000, 5909200, 229000, 208200, 95200, 2685500, 78200, 579500, 1134000, 296000, 456500, 811000, 2166000, 252000, 0, 803500]]"
['2022-03-02 13:00:00'],[4091.4848110000603],[11004091.484811],[''],['2022-03-02 13:00:00'],"[[14.03, 15.63499, 49.43178, 137.3, 11.93, 6.67, 25.97, 52.986, 74.83, 11.31, 45.33, 7.4197, 7.6547, 15.54794, 14.06, 0.071, 4.91]]","[[14.05, 15.65499, 49.53178, 137.9, 11.93, 6.69, 25.97, 53.036, 74.93, 11.33, 45.38, 7.4197, 7.6547, 15.56794, 14.12, 0.071, 4.92]]","[[13.97, 15.45499, 49.38178, 137.3, 11.87, 6.67, 25.87, 52.886, 74.63, 11.31, 45.18, 7.4097, 7.6347, 15.44794, 14.06, 0.071, 4.88]]","[[14.03, 15.63499, 49.53178, 137.9, 11.91, 6.68, 25.87, 52.986, 74.63, 11.31, 45.23, 7.4097, 7.6347, 15.56794, 14.08, 0.071, 4.91]]","[[1644000, 2448500, 1538000, 184100, 119000, 87600, 1033500, 29300, 316500, 413000, 212000, 65000, 517000, 618000, 36000, 0, 391000]]"
